Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Diabetes_Friendly,Heart_Friendly,Kidney_Friendly,Liver_Friendly
Carrot Sticks (1 cup) (70% portion),Vegetable,36.4,0.84,8.61,0.21,2.52,4.199999999999999,61.599999999999994,0.0,Snack,0.0,0,1,1,1
Peanut Sauce (2 tbsp) (150% portion) (80% portion),Condiment,96.0,2.4000000000000004,4.800000000000001,7.2,1.2000000000000002,3.6,300.0,0.0,Dinner,0.0,1,0,0,0
Cheddar Cheese (1 oz) (150% portion),Dairy,172.5,10.5,1.5,14.25,0.0,0.75,270.0,45.0,Snack,0.0,1,0,1,0
Cucumber Slices (1 cup) (50% portion) (150% portion),Vegetable,12.0,0.5249999999999999,2.7,0.07500000000000001,0.375,1.275,1.5,0.0,Snack,0.0,1,1,1,1
Lobster Bisque (1 cup) (130% portion) (80% portion),Meal/Seafood,260.0,8.32,12.48,18.72,1.04,3.12,884.0,52.0,Lunch,325.0,1,0,0,0
Orange Slice (garnish) (120% portion),Fruit,6.0,0.12,1.2,0.0,0.24,0.96,0.0,0.0,Snack,0.0,1,1,1,1
Bread Roll (hoagie) (80% portion),Grain,160.0,4.800000000000001,30.400000000000002,1.6,1.6,2.4000000000000004,320.0,0.0,Lunch,0.0,0,0,0,1
Tomato Soup (1 can) (150% portion),Meal/Vegetable,255.0,6.0,37.5,9.0,6.0,22.5,1350.0,15.0,Lunch,0.0,0,0,0,0
Fattoush Salad (1.5 cups) (120% portion),Meal/Vegetarian,300.0,6.0,30.0,18.0,7.199999999999999,6.0,600.0,0.0,Lunch,0.0,0,0,0,0
Chorizo (1 oz in paella) (80% portion),Protein/Meat,104.0,4.800000000000001,0.8,8.8,0.0,0.4,280.0,24.0,Dinner,0.0,1,0,0,0
Soda (1 can Coke) (80% portion),Beverage,112.0,0.0,31.200000000000003,0.0,0.0,31.200000000000003,36.0,0.0,Snack,355.0,0,1,1,0
Lasagna (1 serving meat) (70% portion),Meal/Pasta,244.99999999999997,14.0,21.0,11.899999999999999,2.8,4.8999999999999995,595.0,38.5,Dinner,250.0,0,0,0,0
Skirt Steak (4oz grilled) (120% portion),Protein/Meat,288.0,31.2,0.0,18.0,0.0,0.0,84.0,96.0,Dinner,0.0,1,0,0,0
Tomato Sauce (1/2 cup) (120% portion),Condiment,48.0,1.7999999999999998,8.4,1.2,2.4,4.8,420.0,0.0,Dinner,0.0,1,0,0,1
Salami (3 slices) (150% portion),Protein/Processed,165.0,9.0,1.5,13.5,0.0,0.75,750.0,45.0,Lunch,0.0,1,0,0,0
Beef Jerky (1 oz) (150% portion) (80% portion),Snack/Processed,139.20000000000002,11.280000000000001,3.7200000000000006,8.64,0.6000000000000001,3.0,708.0,36.0,Snack,0.0,1,0,0,0
Lime Wedge (garnish) (120% portion),Condiment,3.5999999999999996,0.12,1.2,0.0,0.36,0.24,0.0,0.0,Dinner,0.0,1,1,1,1
Pesto Sauce (1/4 cup) (150% portion),Condiment,390.0,7.5,6.0,39.0,3.0,1.5,825.0,7.5,Dinner,0.0,1,0,0,0
Sour Cream (1 tbsp) (80% portion),Condiment/Dairy,24.0,0.32000000000000006,0.48,2.32,0.0,0.32000000000000006,9.600000000000001,4.800000000000001,Lunch,0.0,1,1,1,1
Eggo Waffle (2 waffles) (130% portion) (120% portion),Grain/Processed,280.8,6.24,46.8,7.8,1.56,6.24,624.0,0.0,Breakfast,0.0,0,0,0,1
Pisco Sour (1 drink) (80% portion),Beverage,200.0,0.8,20.0,0.0,0.0,19.200000000000003,4.0,4.0,Snack,180.0,0,1,1,0
Egg Drop Soup (1 cup) (80% portion),Meal/Vegetable,52.0,4.0,4.800000000000001,1.6,0.4,0.8,624.0,40.0,Dinner,0.0,1,0,0,1
Black Beans (1/2 cup) (150% portion),Legume,171.0,11.399999999999999,30.599999999999998,0.75,11.25,0.44999999999999996,1.5,0.0,Lunch,0.0,1,1,1,1
Crackers (5 whole wheat) (80% portion),Grain/Processed,72.0,1.6,11.200000000000001,2.4000000000000004,1.6,0.0,144.0,0.0,Lunch,0.0,1,0,1,1
English Muffin (whole wheat) (120% portion),Grain,160.79999999999998,7.199999999999999,31.2,1.2,5.28,1.2,252.0,0.0,Breakfast,250.0,1,0,0,1
Chicken Alfredo (1.5 cups) (150% portion),Meal/Pasta,1020.0,52.5,67.5,57.0,6.0,7.5,1470.0,180.0,Dinner,250.0,0,0,0,0
Polenta (grilled 1 slice) (70% portion) (70% portion),Meal/Grain,58.8,1.2249999999999999,12.25,0.48999999999999994,0.9799999999999999,0.24499999999999997,147.0,0.0,Dinner,0.0,1,0,0,1
Ketchup (1 tbsp) (70% portion) (150% portion),Condiment,21.0,0.20999999999999985,5.25,0.10499999999999984,0.20999999999999985,4.199999999999999,168.0,0.0,Lunch,0.0,1,1,1,1
Turkey Sausage (1 patty) (50% portion) (150% portion),Protein/Meat,52.5,6.75,0.75,3.0,0.0,0.375,210.0,26.25,Breakfast,0.0,1,0,1,1
Avocado Toast (1 slice) (150% portion),Meal/Vegetarian,390.0,10.5,42.0,22.5,15.0,1.5,525.0,0.0,Breakfast,500.0,1,0,0,0
Chocolate Chip Cookie (1 large) (70% portion),Dessert,154.0,1.75,21.0,7.699999999999999,1.0499999999999998,13.299999999999999,112.0,14.0,Snack,0.0,0,0,1,0
Chicken Milanesa (1 serving) (70% portion),Meal/Meat,315.0,24.5,21.0,15.399999999999999,2.0999999999999996,1.4,489.99999999999994,70.0,Dinner,0.0,0,0,0,0
Coconut Flakes (1 tbsp topping) (80% portion),Fruit,28.0,0.24,1.2000000000000002,2.64,0.5599999999999999,0.4,0.8,0.0,Breakfast,0.0,1,1,1,1
Pecorino Romano (1/4 cup) (120% portion),Dairy,132.0,9.0,1.2,10.2,0.0,0.0,540.0,30.0,Dinner,0.0,1,0,0,0
Ants on a Log (4 pcs) (70% portion) (80% portion),Snack,100.80000000000001,3.3599999999999994,6.719999999999999,6.719999999999999,1.6800000000000002,3.9200000000000004,67.2,0.0,Snack,175.0,1,1,1,0
Avocado (1/2 fruit) (70% portion) (70% portion),Fruit,78.39999999999999,0.9799999999999999,4.164999999999999,7.2029999999999985,3.283,0.3429999999999999,3.43,0.0,Breakfast,0.0,1,1,1,0
Potato Chips (1 oz) (120% portion),Snack/Processed,192.0,2.4,18.0,12.0,1.2,0.6,204.0,0.0,Snack,0.0,1,0,1,0
Croutons (Garlic 1/4 cup) (50% portion) (120% portion),Grain,30.0,0.8999999999999999,4.2,1.2,0.3,0.3,84.0,0.0,Lunch,0.0,1,1,1,1
Aji Amarillo Paste (1 tsp) (70% portion) (150% portion),Condiment,5.25,0.10499999999999984,1.0499999999999998,0.0,0.5249999999999999,0.5249999999999999,52.5,0.0,Dinner,0.0,1,1,1,1
Walnuts (1 tbsp chopped) (150% portion) (150% portion),Nut,103.5,2.4749999999999996,2.25,10.350000000000001,1.125,0.44999999999999996,0.0,0.0,Lunch,0.0,1,1,1,1
Seaweed Salad (1/2 cup) (70% portion) (80% portion),Vegetable,33.6,1.1199999999999999,4.4799999999999995,1.6800000000000002,1.1199999999999999,2.2399999999999998,196.0,0.0,Lunch,0.0,1,0,0,1
Negroni (1 drink) (80% portion),Beverage,152.0,0.0,12.0,0.0,0.0,12.0,4.0,0.0,Snack,90.0,0,1,1,0
Root Beer (1 can) (130% portion) (120% portion),Beverage,234.0,0.0,62.4,0.0,0.0,62.4,85.8,0.0,Snack,461.5,0,1,1,0
Orange Slice (garnish) (50% portion) (120% portion),Fruit,3.0,0.06,0.6,0.0,0.12,0.48,0.0,0.0,Snack,0.0,1,1,1,1
Pickled Turnips (2 tbsp) (120% portion),Vegetable,12.0,0.24,2.4,0.0,0.6,1.2,240.0,0.0,Lunch,0.0,1,0,0,1
Horchata (1 cup) (130% portion) (150% portion),Beverage,273.0,3.9000000000000004,48.75,5.85,1.9500000000000002,42.900000000000006,58.5,9.75,Snack,312.0,0,1,1,0
Walnuts (1 tbsp chopped) (120% portion),Nut,55.199999999999996,1.32,1.2,5.52,0.6,0.24,0.0,0.0,Lunch,0.0,1,1,1,1
Cardamom (in coffee) (70% portion),Condiment,0.7,0.0,0.13999999999999999,0.0,0.06999999999999999,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Mayonnaise (1 tbsp) (70% portion) (120% portion),Condiment,75.6,0.08399999999999987,0.08399999999999987,8.4,0.0,0.08399999999999987,58.8,4.2,Lunch,0.0,1,1,1,0
Grilled Chicken Salad (80% portion),Meal/Protein,280.0,24.0,8.0,16.0,4.0,3.2,320.0,64.0,Lunch,500.0,1,0,0,0
Mayonnaise (1 tbsp) (150% portion),Condiment,135.0,0.15000000000000002,0.15000000000000002,15.0,0.0,0.15000000000000002,105.0,7.5,Lunch,0.0,1,1,1,0
Chicken Milanesa (1 serving) (150% portion),Meal/Meat,675.0,52.5,45.0,33.0,4.5,3.0,1050.0,150.0,Dinner,0.0,0,0,0,0
Cardamom (in coffee) (130% portion) (70% portion),Condiment,0.9099999999999999,0.0,0.182,0.0,0.091,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Thai Iced Tea (1 glass) (120% portion),Beverage,300.0,3.5999999999999996,42.0,14.399999999999999,0.0,39.6,60.0,42.0,Snack,300.0,0,0,1,0
Coffee (with cream/sugar) (70% portion) (70% portion),Beverage,24.5,0.24499999999999997,2.4499999999999997,1.47,0.0,2.2049999999999996,4.8999999999999995,4.8999999999999995,Breakfast,175.0,1,1,1,1
Crackers (5 whole wheat) (50% portion) (120% portion),Grain/Processed,54.0,1.2,8.4,1.7999999999999998,1.2,0.0,108.0,0.0,Lunch,0.0,1,1,1,1
Pepperoncini (2 peppers) (120% portion),Vegetable,12.0,0.6,2.4,0.0,1.2,1.2,420.0,0.0,Lunch,0.0,1,0,0,1
Eggo Waffle (2 waffles) (120% portion),Grain/Processed,216.0,4.8,36.0,6.0,1.2,4.8,480.0,0.0,Breakfast,0.0,0,0,0,1
Carrot Sticks (1 cup) (150% portion),Vegetable,78.0,1.7999999999999998,18.450000000000003,0.44999999999999996,5.4,9.0,132.0,0.0,Snack,0.0,0,1,1,1
Basil (2 tbsp fresh) (130% portion) (150% portion),Condiment,1.9500000000000002,0.195,0.195,0.0,0.195,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Risotto alla Milanese (1 cup) (120% portion),Meal/Rice,420.0,12.0,60.0,14.399999999999999,3.5999999999999996,3.5999999999999996,840.0,36.0,Dinner,0.0,0,0,0,0
Kiwifruit (1 medium) (150% portion) (70% portion),Fruit,48.3,0.945,11.654999999999998,0.42000000000000004,2.415,7.035,2.0999999999999996,0.0,Snack,0.0,0,1,1,0
Beets (1/2 cup roasted) (80% portion),Vegetable,24.0,0.6400000000000001,5.44,0.08000000000000002,1.1199999999999999,4.64,40.0,0.0,Lunch,0.0,0,1,1,1
Corn Nuts (1 oz) (130% portion) (150% portion),Snack/Processed,253.5,3.9000000000000004,44.849999999999994,7.800000000000001,3.9000000000000004,0.0,351.0,0.0,Snack,0.0,1,0,0,1
Black Pepper (1/2 tsp) (150% portion),Condiment,4.5,0.15000000000000002,1.0499999999999998,0.0,0.44999999999999996,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Cheese Whiz (2 tbsp) (150% portion) (120% portion),Condiment/Processed,162.0,7.199999999999999,5.3999999999999995,12.6,0.0,3.5999999999999996,972.0,36.0,Lunch,0.0,1,0,0,0
Chorizo (1 oz in paella) (130% portion) (70% portion),Protein/Meat,118.3,5.46,0.9099999999999999,10.01,0.0,0.45499999999999996,318.5,27.299999999999997,Dinner,0.0,1,0,0,0
Garlic (1 clove) (80% portion),Vegetable,3.2,0.16000000000000003,0.7200000000000001,0.0,0.08000000000000002,0.0,0.8,0.0,Dinner,0.0,1,1,1,1
Sage (2 leaves) (120% portion),Condiment,1.2,0.0,0.12,0.0,0.12,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Ketchup (1 tbsp) (80% portion),Condiment,16.0,0.16000000000000003,4.0,0.08000000000000002,0.16000000000000003,3.2,128.0,0.0,Lunch,0.0,1,0,1,1
Smoothie (Fruit & Yogurt) (150% portion) (70% portion),Beverage/Meal,294.0,12.6,57.74999999999999,3.15,7.35,42.0,73.5,5.25,Breakfast,375.0,0,1,0,0
Alfajores (1 cookie) (150% portion) (70% portion),Dessert,189.0,2.0999999999999996,23.099999999999998,10.5,1.0499999999999998,15.749999999999998,62.99999999999999,21.0,Snack,0.0,0,0,1,0
Corn Nuts (1 oz) (150% portion),Snack/Processed,195.0,3.0,34.5,6.0,3.0,0.0,270.0,0.0,Snack,0.0,1,0,1,1
Coconut Flakes (1 tbsp topping) (120% portion),Fruit,42.0,0.36,1.7999999999999998,3.9599999999999995,0.84,0.6,1.2,0.0,Breakfast,0.0,1,1,1,1
Egg Drop Soup (1 cup) (120% portion),Meal/Vegetable,78.0,6.0,7.199999999999999,2.4,0.6,1.2,936.0,60.0,Dinner,0.0,1,0,0,1
Lime Wedge (garnish) (50% portion) (120% portion),Condiment,1.7999999999999998,0.06,0.6,0.0,0.18,0.12,0.0,0.0,Dinner,0.0,1,1,1,1
Bell Pepper (1 medium red) (130% portion) (80% portion),Vegetable,32.24,1.2480000000000002,6.240000000000001,0.31200000000000006,2.1840000000000006,4.368000000000001,4.16,0.0,Lunch,0.0,0,1,1,1
Spring Roll (Veg 2 rolls) (150% portion),Snack/Processed,270.0,6.0,37.5,10.5,4.5,4.5,675.0,0.0,Dinner,0.0,1,0,0,0
Ribollita (1.5 cups soup) (80% portion),Meal/Soup,280.0,12.0,44.0,6.4,11.200000000000001,8.0,720.0,4.0,Dinner,500.0,0,0,0,0
Grapes (1 cup) (80% portion),Fruit,83.2,0.8800000000000001,21.6,0.16000000000000003,1.1199999999999999,18.400000000000002,2.4000000000000004,0.0,Snack,0.0,0,1,1,0
Carrot (1/4 minced in sauce) (80% portion),Vegetable,8.0,0.16000000000000003,1.92,0.08000000000000002,0.5599999999999999,0.96,13.600000000000001,0.0,Dinner,0.0,1,1,1,1
Kiwifruit (1 medium) (80% portion),Fruit,36.800000000000004,0.7200000000000001,8.88,0.32000000000000006,1.8399999999999999,5.36,1.6,0.0,Snack,0.0,0,1,1,1
Lobster Bisque (1 cup) (130% portion) (120% portion),Meal/Seafood,390.0,12.48,18.72,28.08,1.56,4.68,1326.0,78.0,Lunch,325.0,1,0,0,0
Turkey Sandwich (on wheat) (70% portion) (70% portion),Meal/Processed,166.6,10.78,16.66,5.879999999999999,2.4499999999999997,2.9399999999999995,416.5,24.5,Lunch,350.0,1,0,0,0
Provolone Cheese (1 slice) (120% portion),Dairy,120.0,8.4,1.2,9.6,0.0,0.6,300.0,24.0,Snack,0.0,1,0,0,0
Peanut Butter & Jelly Sandwich (70% portion),Meal/Processed,273.0,8.399999999999999,35.0,11.899999999999999,3.5,14.0,315.0,0.0,Lunch,250.0,0,0,0,0
Mint (1 tbsp in tabouli) (50% portion) (150% portion),Condiment,0.75,0.07500000000000001,0.07500000000000001,0.0,0.07500000000000001,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Rosemary (garnish) (80% portion),Condiment,0.8,0.0,0.16000000000000003,0.0,0.08000000000000002,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Pita Bread (1 whole wheat) (130% portion) (120% portion),Grain,265.2,9.360000000000001,54.6,2.34,7.8,3.12,499.2,0.0,Snack,0.0,0,0,0,1
Candied Fruit (1 tbsp) (80% portion),Fruit,24.0,0.0,6.4,0.0,0.4,6.4,4.0,0.0,Snack,0.0,0,1,1,0
Pecorino Romano (1/4 cup) (150% portion),Dairy,165.0,11.25,1.5,12.75,0.0,0.0,675.0,37.5,Dinner,0.0,1,0,0,0
Butter (1 tbsp) (50% portion) (70% portion),Condiment/Dairy,35.0,0.034999999999999996,0.0,3.8499999999999996,0.0,0.0,28.7,10.5,Breakfast,0.0,1,1,1,1
French Fries (side) (150% portion),Vegetable/Processed,510.0,6.0,66.0,25.5,6.0,0.44999999999999996,345.0,0.0,Dinner,0.0,0,0,0,0
Mint (1 tbsp in tabouli) (50% portion) (150% portion),Condiment,0.75,0.07500000000000001,0.07500000000000001,0.0,0.07500000000000001,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Crackers (5 whole wheat) (70% portion),Grain/Processed,62.99999999999999,1.4,9.799999999999999,2.0999999999999996,1.4,0.0,125.99999999999999,0.0,Lunch,0.0,1,0,1,1
Mint (1 tbsp in tabouli) (150% portion),Condiment,1.5,0.15000000000000002,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Panettone (1 slice) (120% portion),Dessert,384.0,7.199999999999999,60.0,14.399999999999999,3.5999999999999996,30.0,240.0,84.0,Snack,0.0,0,0,0,0
Marshmallow (1 large) (80% portion),Dessert,18.400000000000002,0.08000000000000002,4.64,0.0,0.0,3.2,4.0,0.0,Snack,0.0,1,1,1,1
Marshmallow (1 large) (70% portion) (150% portion),Dessert,24.15,0.10499999999999984,6.09,0.0,0.0,4.199999999999999,5.25,0.0,Snack,0.0,1,1,1,1
Potato Chips (1 oz) (70% portion) (70% portion),Snack/Processed,78.39999999999999,0.9799999999999999,7.35,4.8999999999999995,0.48999999999999994,0.24499999999999997,83.3,0.0,Snack,0.0,1,1,1,0
Fried Okra (1 cup) (80% portion),Vegetable,176.0,3.2,20.0,9.600000000000001,4.0,2.4000000000000004,360.0,8.0,Dinner,0.0,1,0,0,0
Stuffed Grape Leaves (3 pcs) (70% portion),Meal/Vegetarian,105.0,2.0999999999999996,14.0,4.8999999999999995,2.0999999999999996,2.0999999999999996,280.0,0.0,Snack,0.0,1,0,0,0
Choripan (1 sandwich) (70% portion),Meal/Processed,385.0,14.0,28.0,24.5,2.0999999999999996,2.8,770.0,56.0,Lunch,250.0,0,0,0,0
Lemon Wedge (for calamari) (80% portion),Condiment,2.4000000000000004,0.08000000000000002,0.8,0.0,0.24,0.16000000000000003,0.0,0.0,Dinner,0.0,1,1,1,1
Saffron (pinch) (120% portion),Condiment,1.2,0.0,0.12,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Egg Drop Soup (1 cup) (70% portion),Meal/Vegetable,45.5,3.5,4.199999999999999,1.4,0.35,0.7,546.0,35.0,Dinner,0.0,1,0,0,1
Avocado (1/2 fruit) (80% portion),Fruit,128.0,1.6,6.800000000000001,11.76,5.36,0.5599999999999999,5.6000000000000005,0.0,Breakfast,0.0,1,1,1,0
Chicken Tikka Masala (1.5 cups) (120% portion),Meal/Meat,576.0,36.0,24.0,36.0,6.0,9.6,1080.0,114.0,Dinner,250.0,0,0,0,0
Cupcake (Vanilla 1 medium) (150% portion),Dessert,360.0,3.0,52.5,16.5,1.5,37.5,300.0,45.0,Snack,0.0,0,0,0,0
Margarita (1 drink  4oz) (80% portion),Beverage,160.0,0.08000000000000002,16.0,0.0,0.08000000000000002,15.200000000000001,4.0,0.0,Snack,120.0,0,1,1,0
Cabbage Slaw (side) (150% portion),Vegetable,90.0,1.5,12.0,4.5,3.0,7.5,180.0,7.5,Dinner,0.0,0,1,1,1
Potato Chips (1 oz) (70% portion) (120% portion),Snack/Processed,134.4,1.68,12.6,8.4,0.84,0.42,142.79999999999998,0.0,Snack,0.0,1,1,1,0
Za'atar (1 tbsp) (120% portion),Condiment,48.0,1.2,3.5999999999999996,3.5999999999999996,1.7999999999999998,0.0,180.0,0.0,Breakfast,0.0,1,0,1,1
Cumin (1 tsp) (70% portion),Condiment,5.6,0.21,1.0499999999999998,0.35,0.27999999999999997,0.06999999999999999,2.0999999999999996,0.0,Lunch,0.0,1,1,1,1
Macaroni & Cheese (1 cup) (50% portion) (70% portion),Meal/Pasta,122.49999999999999,3.5,14.0,5.949999999999999,0.7,1.75,262.5,14.0,Lunch,125.0,1,0,0,0
Lasagna (1 serving meat) (150% portion) (70% portion),Meal/Pasta,367.5,21.0,31.499999999999996,17.849999999999998,4.199999999999999,7.35,892.5,57.74999999999999,Dinner,375.0,0,0,0,0
Hollandaise Sauce (2 tbsp) (80% portion),Condiment,88.0,0.8,0.4,9.600000000000001,0.0,0.16000000000000003,120.0,40.0,Breakfast,0.0,1,0,1,0
Peanut Sauce (2 tbsp) (70% portion),Condiment,56.0,1.4,2.8,4.199999999999999,0.7,2.0999999999999996,175.0,0.0,Dinner,0.0,1,0,0,1
Cashews (1 oz roasted) (50% portion) (70% portion),Nut,57.05,1.505,3.2199999999999998,4.585,0.315,0.48999999999999994,49.0,0.0,Snack,0.0,1,1,1,1
Pickled Radish (1/4 cup) (70% portion),Vegetable,10.5,0.35,2.0999999999999996,0.0,0.7,1.4,175.0,0.0,Breakfast,0.0,1,0,0,1
Pork Bun (1 steamed) (150% portion),Meal/Processed,330.0,12.0,45.0,12.0,3.0,9.0,600.0,30.0,Lunch,0.0,0,0,0,0
Fried Pita (1/2 pita in salad) (80% portion),Grain,64.0,1.6,9.600000000000001,2.4000000000000004,0.8,0.4,120.0,0.0,Lunch,0.0,1,0,1,1
French Bread (2 slices) (80% portion),Grain,144.0,4.800000000000001,28.8,0.8,1.6,1.6,304.0,0.0,Dinner,0.0,0,0,0,1
Pico de Gallo (1/4 cup) (130% portion) (80% portion),Condiment,15.600000000000001,0.52,3.12,0.0,1.04,2.08,208.0,0.0,Dinner,0.0,1,0,0,1
Chicken Tikka Masala (1.5 cups) (80% portion),Meal/Meat,384.0,24.0,16.0,24.0,4.0,6.4,720.0,76.0,Dinner,250.0,0,0,0,0
Mustard (1 tbsp  yellow) (130% portion) (80% portion),Condiment,10.4,0.52,1.04,0.52,0.52,0.0,166.4,0.0,Lunch,0.0,1,0,0,1
Mustard (1 tbsp  yellow) (120% portion),Condiment,12.0,0.6,1.2,0.6,0.6,0.0,192.0,0.0,Lunch,0.0,1,0,1,1
Croutons (Garlic 1/4 cup) (50% portion) (80% portion),Grain,20.0,0.6000000000000001,2.8000000000000003,0.8,0.2,0.2,56.0,0.0,Lunch,0.0,1,1,1,1
Iced Tea (Sweetened 16oz) (130% portion) (80% portion),Beverage,187.20000000000002,0.0,47.84,0.0,0.0,47.84,15.600000000000001,0.0,Snack,650.0,0,1,1,0
Polenta (grilled 1 slice) (150% portion) (150% portion),Meal/Grain,270.0,5.625,56.25,2.25,4.5,1.125,675.0,0.0,Dinner,0.0,0,0,0,1
Sage (2 leaves) (50% portion) (80% portion),Condiment,0.4,0.0,0.04000000000000001,0.0,0.04000000000000001,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Croutons (1/4 cup) (80% portion),Grain,40.0,1.2000000000000002,5.6000000000000005,1.6,0.4,0.4,112.0,0.0,Lunch,0.0,1,0,1,1
Frosting (Vanilla 2 tbsp) (50% portion) (150% portion),Condiment,105.0,0.0,16.5,4.5,0.0,16.5,48.75,0.0,Snack,0.0,0,1,1,0
Coffee Beans (3 garnish) (150% portion),Snack,3.0,0.15000000000000002,0.44999999999999996,0.0,0.15000000000000002,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Chorizo (1 oz in paella) (70% portion),Protein/Meat,91.0,4.199999999999999,0.7,7.699999999999999,0.0,0.35,244.99999999999997,21.0,Dinner,0.0,1,0,0,0
Turkey Burger (1 patty) (70% portion),Protein/Meat,112.0,15.399999999999999,1.4,5.6,0.0,0.7,280.0,49.0,Lunch,250.0,1,0,0,0
Pickled Cucumber (1/4 cup) (130% portion) (80% portion),Vegetable,10.4,0.52,2.08,0.0,1.04,1.04,312.0,0.0,Dinner,0.0,1,0,0,1
Soda (1 can Coke) (150% portion),Beverage,210.0,0.0,58.5,0.0,0.0,58.5,67.5,0.0,Snack,355.0,0,1,1,0
Frosting (Vanilla 2 tbsp) (130% portion) (150% portion),Condiment,273.0,0.0,42.900000000000006,11.700000000000001,0.0,42.900000000000006,126.75,0.0,Snack,0.0,0,1,1,0
Media Luna (1 pastry) (150% portion),Grain,285.0,6.0,37.5,12.0,1.5,13.5,225.0,37.5,Breakfast,0.0,0,0,1,0
Sesame Oil (1 tsp) (80% portion),Condiment,32.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Sage (2 leaves) (70% portion),Condiment,0.7,0.0,0.06999999999999999,0.0,0.06999999999999999,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Cottage Cheese (1 cup low fat) (120% portion),Dairy,192.0,33.6,7.199999999999999,3.0,0.0,4.8,984.0,12.0,Lunch,250.0,1,0,0,1
Fresh Mozzarella (1 oz) (70% portion),Dairy,50.4,3.5,0.5599999999999999,3.5,0.0,0.21,96.6,15.399999999999999,Dinner,0.0,1,0,1,1
Cupcake (Vanilla 1 medium) (130% portion) (70% portion),Dessert,218.39999999999998,1.8199999999999998,31.849999999999998,10.01,0.9099999999999999,22.75,182.0,27.299999999999997,Snack,0.0,0,0,0,0
Frosting (Vanilla 2 tbsp) (120% portion),Condiment,168.0,0.0,26.4,7.199999999999999,0.0,26.4,78.0,0.0,Snack,0.0,0,1,1,0
Hot Sauce (1 tsp Tabasco) (70% portion),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,Breakfast,0.0,1,1,1,1
Soda (1 can Coke) (120% portion),Beverage,168.0,0.0,46.8,0.0,0.0,46.8,54.0,0.0,Snack,355.0,0,1,1,0
Pickled Turnips (2 tbsp) (70% portion),Vegetable,7.0,0.13999999999999999,1.4,0.0,0.35,0.7,140.0,0.0,Lunch,0.0,1,0,0,1
Ground Lamb (1 oz filling) (70% portion),Protein/Meat,56.0,3.8499999999999996,0.0,4.199999999999999,0.0,0.0,14.0,14.0,Snack,0.0,1,0,1,1
Lobster Bisque (1 cup) (150% portion) (80% portion),Meal/Seafood,300.0,9.600000000000001,14.4,21.6,1.2000000000000002,3.6,1020.0,60.0,Lunch,375.0,1,0,0,0
Beef Tacos (2 hard shell) (80% portion),Meal/Meat,304.0,14.4,22.400000000000002,17.6,4.0,2.4000000000000004,480.0,40.0,Dinner,500.0,1,0,0,0
Turkey Sandwich (on wheat) (70% portion) (80% portion),Meal/Processed,190.4,12.32,19.040000000000003,6.719999999999999,2.8000000000000003,3.3599999999999994,476.0,28.0,Lunch,350.0,1,0,0,0
Soda (1 can Coke) (150% portion),Beverage,210.0,0.0,58.5,0.0,0.0,58.5,67.5,0.0,Snack,355.0,0,1,1,0
Whole Wheat Toast (1 slice) (150% portion),Grain,120.0,6.0,21.0,1.5,3.0,3.0,210.0,0.0,Breakfast,0.0,1,0,1,1
Turkish Coffee (1 small cup) (80% portion),Beverage,4.0,0.16000000000000003,0.4,0.0,0.0,0.0,0.8,0.0,Snack,60.0,1,1,1,1
Lobster Bisque (1 cup) (70% portion),Meal/Seafood,175.0,5.6,8.399999999999999,12.6,0.7,2.0999999999999996,595.0,35.0,Lunch,250.0,1,0,0,0
Polenta (grilled 1 slice) (80% portion),Meal/Grain,96.0,2.0,20.0,0.8,1.6,0.4,240.0,0.0,Dinner,0.0,1,0,0,1
Grapefruit (1/2 medium) (130% portion) (120% portion),Fruit,81.12,1.7160000000000002,20.592,0.312,3.12,13.26,0.0,0.0,Breakfast,0.0,0,1,1,0
Carbonara (1.5 cups) (50% portion) (120% portion),Meal/Pasta,390.0,15.0,36.0,21.0,2.4,2.4,540.0,150.0,Dinner,0.0,0,0,0,0
Grits (1 cup cooked) (70% portion) (150% portion),Grain,157.5,3.1500000000000004,33.599999999999994,1.0499999999999998,2.0999999999999996,0.5249999999999999,336.0,0.0,Breakfast,0.0,1,0,0,1
Chicken Tikka Masala (1.5 cups) (70% portion),Meal/Meat,336.0,21.0,14.0,21.0,3.5,5.6,630.0,66.5,Dinner,250.0,0,0,0,0
